1,56,56,54,49
2,73,49,55,51
3,79,46,37,41
4,71,47,40,49
5,74,49,50,35
6,76,43,48,31
7,71,41,55,40
8,63,45,45,45
9,73,45,45,37
10,73,46,42,35
11,69,41,42,34
12,69,38,50,34
13,69,45,38,48
14,69,45,43,48
15,72,50,42,51
16,71,45,42,46
17,73,38,48,51
18,78,47,39,50
19,67,43,42,44
20,67,55,51,49
21,74,43,42,45
22,77,50,52,43
23,75,43,37,46
24,78,45,46,41
25,70,45,44,50
26,67,42,40,43
27,72,48,45,42
28,76,40,47,46
29,78,53,45,40
30,76,45,41,39
31,71,40,45,47
32,72,39,44,50
33,70,38,48,41
34,79,39,41,46
35,75,42,48,48
36,73,38,49,46
37,73,39,50,40
38,74,37,44,43
39,75,39,48,45
40,77,43,45,48
41,77,37,39,48
42,76,39,37,51
43,75,41,44,47
44,70,37,44,48
45,74,45,48,50
46,76,40,42,47
47,72,39,35,40
48,78,50,37,53
49,76,31,54,69
50,74,41,42,57
51,76,42,48,52
52,77,41,46,54
53,77,45,33,49
54,78,45,31,50
