09/30 17:13:45, 24.56
09/30 17:13:50, 24.46
09/30 17:13:50, 24.46
09/30 17:13:55, 24.56
09/30 17:14:00, 24.46
09/30 17:14:05, 24.16
09/30 17:14:05, 24.26
09/30 17:14:10, 24.16
09/30 17:14:15, 24.36
09/30 17:14:21, 24.46
09/30 17:14:21, 24.56
09/30 17:14:25, 24.56
09/30 17:14:30, 24.56
09/30 17:14:35, 24.46
09/30 17:14:35, 24.46
09/30 17:14:40, 24.46
09/30 17:14:45, 24.46
09/30 17:14:50, 24.36
09/30 17:14:51, 24.36
09/30 17:14:55, 24.36
09/30 17:15:05, 24.36
09/30 17:15:06, 24.36
09/30 17:15:06, 24.36
09/30 17:15:10, 24.36
09/30 17:15:20, 24.16
09/30 17:15:21, 24.26
09/30 17:15:21, 24.26
09/30 17:15:25, 24.26
09/30 17:19:35, 24.66
09/30 17:19:35, 24.66
09/30 17:19:45, 24.36
09/30 17:19:51, 24.46
09/30 17:19:51, 24.46
